id,title,genres,overview
27205,Inception,Action Sci-Fi Thriller,A thief who steals corporate secrets through the use of dream-sharing technology.
157336,Interstellar,Adventure Drama Sci-Fi,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
155,The Dark Knight,Action Crime Drama,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham.
19995,Avatar,Action Adventure Fantasy Sci-Fi,On the lush alien world of Pandora live the Na'vi.
293660,Deadpool,Action Adventure Comedy,A former Special Forces operative turned mercenary is subjected to a rogue experiment.
24428,The Avengers,Sci-Fi Action Adventure,Earth's mightiest heroes must come together and learn to fight as a team.
1726,Iron Man,Action Sci-Fi Adventure,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor."
